"Informazioni cronologiche","Fumi?","Cosa fumi di solito?","Quanto liquido di sigaretta elettronica utilizzi in media in una settimana?","Quante sigarette fumi in media ogni settimana?","Hai mai provato a fumare nella tua vita?","Fumi abitualmente?","Chi sa che fumi?","In quale momento o situazione fumi (possibili più risposte)","Perché hai iniziato a fumare? (possibili più risposte) 
","Vorresti smettere di fumare?","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tu]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tua madre]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tuo padre]","C'è qualcuno nella tua famiglia che fuma abitualmente?","Nella tua compagnia abituale c'è qualcuno che fuma?","Conosci gli effetti che il fumo provoca sull'organismo?","Ti preoccupano gli effetti che il fumo provoca sull'organismo?","Quante volte alla settimana pratichi sport?","Che genere di musica ascolti abitualmente?","Hai qualche problema respiratorio? (Ad esempio asma, tosse, fiato corto, ecc...)","Qual è il tuo genere?","Che classe frequenti?","Dove vivi?"
"2023/03/06 12:56:07 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","3","4","Trap","No","Maschio","2^","In provincia"
"2023/03/06 12:56:11 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","3","Non pratico sport","Trap;Reggaeton;Rock;Indie;Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 12:56:14 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","3","4","Non pratico sport","Trap;Pop;Hip hop","No","Femmina","5^","In provincia"
"2023/03/06 12:56:16 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","5","5","4","Trap;Indie;Pop","No","Femmina","4^","In città"
"2023/03/06 12:56:18 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","4","Pop","No","Femmina","4^","In città"
"2023/03/06 12:56:23 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","Tutti i giorni della settimana","Trap;Pop","No","Maschio","1^","In città"
"2023/03/06 12:56:23 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","Non pratico sport","Trap;Reggaeton;Pop","No","Femmina","5^","In provincia"
"2023/03/06 12:56:23 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","5","Trap;Pop;Hip hop","No","Maschio","3^","In città"
"2023/03/06 12:56:26 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","4","2","Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 12:56:27 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","4","3","4","Trap;Rock;Pop","No","Maschio","2^","In città"
"2023/03/06 12:56:31 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","3","Rock;Indie","No","Femmina","5^","In città"
"2023/03/06 12:56:32 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","4","3","Trap","No","Maschio","3^","In città"
"2023/03/06 12:56:33 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","Non pratico sport","Trap;Rock;Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 12:56:33 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Italia","Nessuno","Sì, ma solo qualcuno","5","3","5","Reggaeton;Indie;Pop","Sì","Femmina","5^","In provincia"
"2023/03/06 12:56:37 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","5","2","Indie;Pop;Hip hop","No","Femmina","5^","In città"
"2023/03/06 12:56:44 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 10 e le 20 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a","Per curiosità","Sì e penso che lo farò a breve","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","4","3","Trap;Reggaeton;Hip hop","No","Maschio","5^","In provincia"
"2023/03/06 12:56:45 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","5","3","6","Trap;Rock;Pop;Hip hop","No","Maschio","5^","In provincia"
"2023/03/06 12:56:48 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","6",".","No","Femmina","4^","In città"
"2023/03/06 12:56:51 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","3","Trap;Reggaeton;Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 12:56:52 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","4","Trap;Reggaeton;Pop;Hip hop","Sì;No","Femmina","3^","In provincia"
"2023/03/06 12:56:54 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","3","5","5","Trap","No","Maschio","2^","In città"
"2023/03/06 12:56:59 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","No, nessuno","4","4","5","Trap;Pop","Sì","Femmina","1^","In città"
"2023/03/06 12:57:00 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","5","4","Pop","Sì","Femmina","1^","In città"
"2023/03/06 12:57:00 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","Non pratico sport","Reggaeton;Rock;Pop;Hip hop","No","Femmina","4^","In provincia"
"2023/03/06 12:57:02 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Estero","Nessuno","No, nessuno","3","3","Non pratico sport","Trap;Reggaeton","No","Femmina","3^","In città"
"2023/03/06 12:57:02 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","Sì, ma solo qualcuno","5","5","2","Pop","No","Femmina","1^","In provincia"
"2023/03/06 12:57:04 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","No, nessuno","5","5","Non pratico sport","Rock;Indie;Pop","No","Femmina","5^","In città"
"2023/03/06 12:57:05 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","5","4","4","Pop","No","Femmina","5^","In città"
"2023/03/06 12:57:10 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","4","4","Non pratico sport","Pop","Sì","Maschio","5^","In provincia"
"2023/03/06 12:57:12 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","4","Pop","No","Maschio","3^","In provincia"
"2023/03/06 12:57:14 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre;Madre;Fratelli/sorelle","Sì, ma solo qualcuno","4","2","Non pratico sport","Pop;Hip hop","No","Femmina","5^","In provincia"
"2023/03/06 12:57:14 PM EET","No","","","","Sì, fumavo regolarmente, ma poi ho smesso","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","5","Trap","No","Maschio","2^","In città"
